https://members.bhpchamber.org/list/ql/advertising-media-1,J2 Marketing LLC,4017 Resthaven Rd,High Point,NC,27265,(336) 848-1707,http://www.j2marketingllc.com
https://members.bhpchamber.org/list/ql/advertising-media-1,Alderman Company,325 Model Farm Road,High Point,NC,27263,(336) 889-6121,http://www.aldermancompany.com
https://members.bhpchamber.org/list/ql/advertising-media-1,"Alpine Graphic Apparel, Inc","2640 Willard Dairy Road, Suite 116",High Point,NC,27265,(336) 884-6035,http://www.alpinegraphicapparel.com/
https://members.bhpchamber.org/list/ql/advertising-media-1,Breaking Limits LLC,250 Cedar Ridge Lane,High Point,NC,27265,336-918-5719,http://Breakinglimits.net
https://members.bhpchamber.org/list/ql/advertising-media-1,Brittano Group & Studios,1690 W. English Rd ,High Point,NC,27262,(336) 688-6526,http://Www.brittanogroup.com
https://members.bhpchamber.org/list/ql/advertising-media-1, Captivate Media,136  Church Avenue,High Point,NC,27262,(336) 804-5997,https://www.captivatemedianc.com/
https://members.bhpchamber.org/list/ql/advertising-media-1,Casey Creative LLC,307 Bing Crosby Blvd,Bermuda Run,NC,27006,(703) 850-8668,http://caseycreative.us
https://members.bhpchamber.org/list/ql/advertising-media-1,Clear Channel Airports,7450 Tilghman Street,Allentown,PA,18106,(610) 395-8002,http://clearchannelairports.com/
https://members.bhpchamber.org/list/ql/advertising-media-1,Colonial LLC,536 Townsend ,High Point,NC,27261,(336) 434-5600,
https://members.bhpchamber.org/list/ql/advertising-media-1,Dick Broadcasting,192 East Lewis Street,Greensboro ,NC,27406,(336) 274-8042,https://dickbroadcasting.com/
https://members.bhpchamber.org/list/ql/advertising-media-1,Fox 8 TV,2005 Francis Street,High Point,NC,27263,(336) 841-8888,http://www.myfox8.com
https://members.bhpchamber.org/list/ql/advertising-media-1,"Fresh Brewed Films, LLC",1231 Wales Ct.,High Point,NC,27262-7335,(336) 880-5404,
https://members.bhpchamber.org/list/ql/advertising-media-1,Go Forth Marketing,4000 Ossi Court,High Point,NC,27265,(203) 278-7507,http://www.goforthmarketing.com
https://members.bhpchamber.org/list/ql/advertising-media-1,Hereafter Studio,607 Radford St,High Point,NC,27260,(336) 948-5382,http://www.hereafter.today
https://members.bhpchamber.org/list/ql/advertising-media-1,High Point Enterprise,213 Woodbine St,High Point,NC,27260,(336) 888-3500,http://www.hpenews.com
https://members.bhpchamber.org/list/ql/advertising-media-1,iHeartMedia,2B PAI Park,Winston-Salem,NC,27409,(419) 277-5988,
https://members.bhpchamber.org/list/ql/advertising-media-1,New Path Digital,113 Gatewood Ave.,High Point,NC,27262,(336) 991-8877,http://NewPathDigital.com
https://members.bhpchamber.org/list/ql/advertising-media-1,Oak Tree Publishing LLC ,2200 Westchester Drive ,High Point ,NC,27262,1-336-880-8259,http://www.orrickquick.com
https://members.bhpchamber.org/list/ql/advertising-media-1,Office Batch,1215 Eastchester Drive,High Point,NC,2765,(336) 317-6557,http://www.officebatch.com
https://members.bhpchamber.org/list/ql/advertising-media-1,"Paschal Promotions, Inc.",4015 Glenn Knoll Lane,Winston Salem,NC,27107,(336) 788-1698,http://www.paschalpromos.com
https://members.bhpchamber.org/list/ql/advertising-media-1,Pheme Communications,301 Westover Drive,High Point,NC,27265,(336) 989-2291,http://phemecomms.com
https://members.bhpchamber.org/list/ql/advertising-media-1,Piedmont Audio Video Solutions,P.O. Box 5911,High Point,NC,27262,(336) 600-1280,http://www.piedmontaudio.com
https://members.bhpchamber.org/list/ql/advertising-media-1,Prime Media Productions,20173 Isle of Wight Industrial Park Rd,Smithfield,Va,23431,(423) 330-4069,http://primemediaproductions.com
https://members.bhpchamber.org/list/ql/advertising-media-1,Proforma Maverick Marketing,1589 Skeet Club Road,High Point,NC,27265,(336) 882-2833,https://maverickmarketing.proforma.com/
https://members.bhpchamber.org/list/ql/advertising-media-1,Ripl Marketing Agency,727 S Cox Street,Asheboro,NC,27203,(336) 257-3711,https://riplagency.com/
https://members.bhpchamber.org/list/ql/advertising-media-1,Science in Design,480 Hiatts Drive,Greensboro,NC,27455,(561) 628-8825,http://scienceindesign.com
https://members.bhpchamber.org/list/ql/advertising-media-1,Spectrum Reach,"200 CentrePort Drive, Suite 250",Greensboro,NC,27409,(919) 443-3191,https://www.spectrumreach.com/
https://members.bhpchamber.org/list/ql/advertising-media-1,SSG/Brandintense,102 Carolina Court,Archdale,NC,27263,(336) 580-1525,http://www.ssgbrandintense.com
https://members.bhpchamber.org/list/ql/advertising-media-1,Stitch-FX,2801 Patterson Street,Greensboro,NC,27407,(336) 379-7929,http://www.stitch-fx.com
https://members.bhpchamber.org/list/ql/advertising-media-1,Stratagon Marketing,501 W. English Rd High Point,High Point,NC,27262,(888) 506-3466,http://www.stratagon.com
https://members.bhpchamber.org/list/ql/advertising-media-1,Streetlevel Media,221 Williams Street,Fayettville,NC,28301,(910) 323-9306,http://www.streetlevelmedia.com
https://members.bhpchamber.org/list/ql/advertising-media-1,"Team Connection, Inc",615 Alton Place,High Point,NC,27262,(336) 431-2551,http://www.teamconnection.com
https://members.bhpchamber.org/list/ql/advertising-media-1,The Buy Black Guide,P.O. Box 714,Jamestown ,NC,27282,(336) 899-9557,http://www.buyblackguide.com
